,e.ap.1,e.ap.2,e.b.1,e.b.2,e.p.ap.1,e.p.ap.2,e.p.b.1,e.p.b.1.rep,e.p.b.2,e.p.b.2.rep,e.p.pr.l.1,e.p.pr.l.2,e.pr.l.1,e.pr.l.2,pname,gene
Q2YDW2,1,5752154.42,2387945.676,1,5849083.962,3128550.985,5122623.43,2070856.055,7400032.808,4048515.14,2634983.595,4916971.346,5202117.436,7701192.176,Protein misato homolog 1,Msto1
Q8K4B0,21614000,41165000,33842000,36065000,63340000,53132000,64938000,72214000,82963000,48592000,42128000,56158000,42405000,36938000,Metastasis-associated protein MTA1,Mta1
Q9R190,133560000,120010000,114440000,109650000,150420000,167080000,141720000,133330000,131790000,156590000,120460000,125540000,97925000,103300000,Metastasis-associated protein MTA2,Mta2
Q924K8,15893924.6,2815107.041,618915.8639,1,13151213.94,8805941.181,2079731.936,5335956.721,1,4673794.022,6409211.541,11676290.63,8971033.894,6959606.021,Metastasis-associated protein MTA3,Mta3
Q9CQ65,69363000,78572000,174880000,161570000,82364000,69038000,186070000,165750000,116010000,157530000,47259000,50768000,65345000,65382000,S-methyl-5-thioadenosine phosphorylase,Mtap
Q791T5,6092278.771,1982619.259,1692885.451,1,8556726.537,10188979.6,1075563.58,4254788.583,1198158.244,1755061.507,5108832.154,9846722.214,8388718.43,7234909.056,Mitochondrial carrier homolog 1,Mtch1
Q791V5,73579000,75635000,122680000,107130000,110030000,90429000,119030000,139630000,124820000,125540000,114260000,120460000,114100000,98822000,Mitochondrial carrier homolog 2,Mtch2
P00397,1,1,1,1,81374776.87,59211653.74,1,1,5659402.933,1,1,1,106067793.8,8296466.618,Cytochrome c oxidase subunit 1,Mtco1
P00405,271490000,503530000,416740000,319280000,833220000,541760000,478850000,803090000,377830000,311030000,860980000,923910000,617650000,771720000,Cytochrome c oxidase subunit 2,Mtco2
Q80WJ7,52092000,81672000,96216000,94791000,104920000,95446000,125750000,143920000,113340000,104780000,178110000,164120000,117230000,124520000,Protein LYRIC,Mtdh
Q9CWE0,8695050.163,7953068.66,18053441.43,25847713.61,18071950.45,22119768.85,24067079,9395771.362,16771792.26,15784214.97,36207894.02,17763536.79,35976968.48,26760457.73,Mitochondrial fission regulator 1-like,Mtfr1l
Q922D8,425920000,268860000,359760000,328400000,341540000,3.64E+08,359820000,357650000,404980000,353340000,178960000,216430000,196300000,181960000,"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed",Mthfd1
Q3V3R1,11664000,23612000,40183000,35335000,49391000,42360000,65692000,69809000,76958000,45410000,30538000,37468000,58334000,52878000,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",Mthfd1l
Q9D110,1,7403248.382,3120674.103,2175035.07,7677728.947,11209543.87,1488097.932,2418733.321,1,1,1348097.629,1759630.476,1,1,5-formyltetrahydrofolate cyclo-ligase,Mthfs
Q91YJ5,1160265.912,2022494.838,1,171064.2928,2312618.659,2577228.218,1,1,1,585300.7822,202368.5741,1758781.836,200692.8157,2056705.105,"Translation initiation factor IF-2, mitochondrial",Mtif2
Q7TPM9,1,1,1,1,772347.8822,1,1,1,1,1,1792299.76,1,2777193.012,639669.3359,Myotubularin-related protein 10,Mtmr10
Q9Z2D1,4513949.914,4491242.323,2624108.929,2490067.013,4004614.019,4380444.53,2825615.676,5513120.768,825172.5384,5240723.734,1337322.542,3463300.619,4118851.813,5690659.583,Myotubularin-related protein 2,Mtmr2
Q9Z2C9,1,1,1,1,1,1,1,3697399.639,1,1,24196456.15,32433031.29,18713027.65,27841614.68,Myotubularin-related protein 7,Mtmr7
Q9Z2D0,1,1,1747258.683,1011681.02,279599.2333,1,3810728.138,1051344.745,1,1,9853800.436,7025742.38,11800699.83,7182492.087,Myotubularin-related protein 9,Mtmr9
P03911,12453614.95,1,2132456.998,5071795.175,35378902.99,21631189.91,7687379.368,18677952.06,28984022.75,11024553.39,18623869.51,38403963.84,17944549.95,21048831.36,NADH-ubiquinone oxidoreductase chain 4,Mtnd4
P03921,2171102.568,5062837.661,8652440.72,9528012.091,20145694.76,9301000.226,5280800.225,11335226.85,1853261.506,9484288.175,8214447.956,18366071.33,14611004.9,13130222.72,NADH-ubiquinone oxidoreductase chain 5,Mtnd5
Q9JLN9,13745000,32595000,31503000,30786000,36504000,37498000,20576000,34015000,22207000,19690000,24544000,27012000,25114000,29479000,Serine/threonine-protein kinase mTOR,Mtor
Q9D0D3,1,1,1,1,1,950949.4861,460566.7929,641436.6897,1,1670149.45,8343650.743,3785134.931,3266477.003,1731218.52,"Poly(A) RNA polymerase, mitochondrial",Mtpap
P62774,189780000,203870000,182300000,224660000,151400000,158230000,207420000,267430000,268970000,230880000,143590000,147130000,152690000,183220000,Myotrophin,Mtpn
A6H5Y3,2131767.929,3503743.329,2170016.017,1848560.699,2133219.151,2719276.118,2472695.37,2161261.139,817544.1012,3935383.998,1917572.425,1962106.041,2035820.536,1764446.321,Methionine synthase,Mtr
Q6P9S0,7093652.516,5151434.938,204511.0441,2225552.171,5286285.505,4283963.046,1,721651.3348,500245.9872,512453.4993,1,438317.6666,1,1,MTSS1-like protein,Mtss1l
P47802,11956929.8,26247113.55,2220567.837,12545282.87,38133645.44,38512363.89,43431343.63,41262394.72,45514846.14,29396898.04,31804518.91,18848797.84,25218280.72,25675654.38,Metaxin-1,Mtx1
O88441,7598341.118,28405566.42,87414250.25,27130726.24,72215051.98,67480466.66,94687191.82,56669122.5,56477359.12,69337414.72,45646738.98,59359885.35,72518877.28,47931899.22,Metaxin-2,Mtx2
P19467,1,1,1,1,1,1,1,1,1,1,13085016.41,2378838.295,28867060.48,24343807.58,Mucin-13,Muc13
P28665;P28666,8202602.143,4627744.733,11640020.51,24113090.27,1149446.848,5673378.705,1784944.983,2783625.815,5565618.029,10013634.91,2408674.022,2883829.129,4057740.958,5425839.942,Murinoglobulin-1;Murinoglobulin-2,Mug1;Mug2
P16332,63494000,66600000,68543000,83397000,107220000,90806000,109400000,98336000,157160000,97017000,139610000,120800000,67606000,69102000,"Methylmalonyl-CoA mutase, mitochondrial",Mut
Q9EQK5,479240000,333390000,238030000,207470000,339240000,337890000,179710000,175960000,192600000,202130000,497020000,495660000,865190000,875290000,Major vault protein,Mvp
O35682,4618701.046,5836124.497,15838114.39,20725401.33,7086430.569,4795479.486,9360564.108,8821273.7,18997501,8545350.652,280758.1488,3205064.401,11005414.78,8058083.362,Myeloid-associated differentiation marker,Myadm
Q7TPV4,458790000,561550000,554410000,452590000,1041600000,935770000,771030000,870740000,663810000,716680000,776100000,843740000,698850000,712270000,Myb-binding protein 1A,Mybbp1a
Q9EQS3,37099000,49701000,41929000,33911000,42141000,46983000,30439000,37728000,30036000,26337000,46164000,38993000,37367000,42406000,C-Myc-binding protein,Mycbp
P22366,9123941.315,1,2146978.363,3561273.002,5134035.922,3855865.031,1,1,1,241492.9471,854834.464,3564188.962,5084462.904,1,Myeloid differentiation primary response protein MyD88,Myd88
Q8C854,3140415.405,3306134.655,37997935.81,41094139.76,16961203.49,9439139.493,96637845.83,86305535.65,89346948.78,74790131.95,40958429.97,54537612.26,52994182.29,42547992.85,Myelin expression factor 2,Myef2
Q3U898,24186918.73,1,1,28747273.46,38632394.07,1,124397648.1,75918767.51,1,18601027.54,25007043.98,44644464.44,55774204.97,1,Myeloma-overexpressed gene 2 protein homolog,Myeov2
Q9JK81,121170000,217550000,101210000,121510000,178160000,198820000,153610000,171020000,179510000,145040000,170460000,143750000,109430000,130830000,"UPF0160 protein MYG1, mitochondrial",Myg1
Q61879,1887900,3055100,739380000,810590000,38586000,24931000,1263300000,947180000,951840000,882730000,335290000,254960000,30405000,4989800,Myosin-10,Myh10
O08638;Q02566,431870000,403740000,3.55E+10,3.48E+10,287230000,321200000,1.86E+10,1.92E+10,2.22E+10,1.77E+10,419530000,409420000,466830000,491580000,Myosin-11,Myh11
Q6URW6,763400000,995400000,306170000,566110000,727550000,920040000,303910000,279610000,358710000,409960000,1272300000,1109100000,2194100000,1795200000,Myosin-14,Myh14
Q8VDD5;P13542;Q5SX39;A2AQP0;Q5SX40,3977800000,5096700000,1.41E+10,1.54E+10,3972200000,4234600000,1.33E+10,1.25E+10,1.31E+10,1.33E+10,4711500000,5344800000,5958800000,5864600000,Myosin-9,Myh9
P05977;P09542,50080457.04,21123169.63,143401209.4,141155734.7,2871817.125,19009321,60846241.82,66336015.62,55813236.35,113398682.3,3814347.95,6269454.21,6676522.32,29408654.14,"Myosin light chain 1/3, skeletal muscle isoform;Myosin light chain 3",Myl1;Myl3
Q3THE2,300320000,231500000,617800000,624240000,145220000,170170000,457770000,432120000,382530000,587350000,203210000,257980000,334810000,254060000,Myosin regulatory light chain 12B,Myl12b
Q60605,1570400000,1014400000,6178100000,5558100000,526240000,688780000,2931500000,2857100000,2705100000,4227200000,734040000,680960000,911740000,810830000,Myosin light polypeptide 6,Myl6
Q9CQ19,141980000,429180000,4460400000,3890400000,374120000,340500000,2517900000,3070900000,2.61E+09,2.38E+09,469800000,434350000,551660000,581870000,Myosin regulatory light polypeptide 9,Myl9
Q6PDN3,2095822.99,2326937.403,405604654.2,443296687.6,1300646.434,2417282.901,232372463.2,193220999.6,216795697.7,216242280,686166.6931,1203521.551,1691345.94,1492425.044,"Myosin light chain kinase, smooth muscle;Myosin light chain kinase, smooth muscle, deglutamylated form",Mylk
Q9JMH9,271740000,273010000,276240000,269270000,178350000,165410000,281100000,284850000,296060000,269500000,141710000,143870000,215340000,189600000,Unconventional myosin-XVIIIa,Myo18a
P46735;O88329,1.67E+08,172710000,117010000,113550000,140860000,155090000,136350000,147740000,169100000,149890000,108810000,130400000,203950000,183180000,Unconventional myosin-Ib,Myo1b
Q9WTI7,211550000,231300000,397340000,412650000,157820000,178530000,265020000,292530000,393250000,265530000,158320000,124630000,140750000,134940000,Unconventional myosin-Ic,Myo1c
Q5SYD0,5650440.85,4670206.101,5600115.298,5034181.238,7879478.394,2688624.218,2518081.874,2478613.834,4189358.213,6550904.667,3037493.673,1,669042.2433,1,Unconventional myosin-Id,Myo1d
E9Q634;P70248,54851000,53414000,44962000,58871000,45838000,62219000,47765000,45399000,69114000,41861000,54529000,54863000,67543000,59566000,Unconventional myosin-Ie,Myo1e
Q99104,3610736.219,763624.153,524625.256,406668.7465,320039.1224,518798.8381,405884.1027,273300.0838,677853.9543,1,15271.6385,141937.5679,1,174625.9911,Unconventional myosin-Va,Myo5a
P21271,443697.5486,343937.0806,380951.0886,541579.8371,2902492.041,588249.0494,629037.6334,768630.1916,1,1,1922976.344,2973685.149,3014785.664,2239663.115,Unconventional myosin-Vb,Myo5b
Q64331,19544442.71,23137362.72,3409354.473,1588306.335,10740720.55,15518295.87,4133583.908,4098753.335,2342199.457,2001325.582,2416534.268,1974086.844,2880649.57,4198827.079,Unconventional myosin-VI,Myo6
Q9QY06,1,3177389.61,4457840.703,3847942.333,605128.3407,3607049.775,893888.8077,1,9917417.081,2446142.455,944817.901,1,423139.3089,1,Unconventional myosin-IXb,Myo9b
Q69ZN7,327150000,269500000,155640000,177330000,176560000,189490000,105030000,93894000,125460000,105060000,394750000,266400000,636050000,519500000,Myoferlin,Myof
Q9QY36;Q3UX61,39399000,15077000,24683000,20848000,18748000,20892000,20188000,21405000,20898000,25996000,32468000,19021000,29137000,23904000,N-alpha-acetyltransferase 10,Naa10
Q80UM3,106060000,52315000,60697000,69646000,81308000,77295000,74286000,78174000,70492000,76059000,108520000,120130000,99320000,90763000,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",Naa15
Q9DBB4,1,273290.6187,1,1,209099.4266,71945.56392,241218.0031,1472892.338,174071.9621,4403960.959,106108.4034,548670.8434,1,1,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",Naa16
P61600,1,3008360.702,9176847.61,21841646.66,23368435.92,17545641.34,22304408.81,1,1,1,35264664.54,21653803.27,25067861.63,34102023.92,N-alpha-acetyltransferase 20,Naa20
Q8BWZ3,61228000,43356000,43293000,47806000,71707000,66339000,59961000,60678000,49691000,55104000,73300000,73550000,74769000,63002000,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",Naa25
Q8CES0,6814237.699,1,666104.8411,383150.9059,141172.1129,1,302557.3806,9573870.312,3116710.198,5326654.99,335976.3744,1,1,1,N-alpha-acetyltransferase 30,Naa30
Q6PHQ8,3785635.3,1,6887821.909,1714659.951,5469885.001,2577228.218,5137687.886,5577161.598,5847421.474,5787205.756,2822974.469,3358818.035,3106079.623,3084351.168,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",Naa35
Q6ZWM4,46749000,77092000,46305000,65169000,73963000,62815000,77621000,77057000,72624000,59253000,63404000,57796000,40035000,49916000,"N-alpha-acetyltransferase 38, NatC auxiliary subunit",Naa38
Q8VE10,1,2568776.669,2844003.885,1,28391172.15,23604020.26,3952295.404,1,3109709.985,2837196.556,14767436.49,19611076.41,10328777.11,6898984.657,N-alpha-acetyltransferase 40,Naa40
Q6PGB6,42633000,43370000,50973000,39981000,53986000,59176000,50632000,42994000,56421000,67002000,65443000,53077000,53607000,64953000,N-alpha-acetyltransferase 50,Naa50
Q61127,1,2641450.933,2853393.64,3181846.972,4284588.252,2811128.96,7336519.159,2712619.961,834910.0141,2965169.791,584163.6304,1209262.352,7618255.002,3766683.358,NGFI-A-binding protein 2,Nab2
Q60817;P70670,254650000,275820000,185980000,188570000,370020000,336660000,213460000,235330000,237410000,186330000,263150000,292210000,230430000,219380000,"Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form",Naca
Q7TSZ8,1,3244892.297,1,2728410.346,4960336.399,697989.0233,4390194.696,5016220.024,1,4803487.156,1,4784982.836,1,3354275.766,Nucleus accumbens-associated protein 1,Nacc1
P58058,1817820.547,1,1,1,19748195.85,20831977.61,534678.7695,1,1,1,7991249.731,288337.9848,1,1,NAD kinase,Nadk
Q8C5H8,1,2949023.663,1675743.69,2646730.889,2475743.211,2020453.939,4136030.273,2069126.485,6267882.982,4910694.202,1,1,1,1,"NAD kinase 2, mitochondrial",Nadk2
Q8VBW6,58697000,44132000,41827000,48388000,44356000,46420000,52434000,59119000,55040000,51023000,49708000,58113000,54006000,50459000,NEDD8-activating enzyme E1 regulatory subunit,Nae1
Q9QWR8,64272000,78541000,47383000,41828000,53162000,45230000,31892000,47247000,39985000,35474000,78369000,63618000,45245000,53569000,Alpha-N-acetylgalactosaminidase,Naga
Q9QZ08,32312000,23154000,28729000,33570000,18712000,22149000,28913000,17785000,32512000,19373000,16567000,12743000,15753000,18096000,N-acetyl-D-glucosamine kinase,Nagk
Q99KQ4,113200000,133980000,64932000,58382000,106020000,91581000,79287000,102900000,91831000,68105000,222850000,180750000,59888000,63310000,Nicotinamide phosphoribosyltransferase,Nampt
P28656,94793000,267810000,220010000,188680000,667590000,500920000,389830000,425890000,294860000,267360000,190090000,214850000,221580000,254740000,Nucleosome assembly protein 1-like 1,Nap1l1
Q78ZA7,78507000,136030000,172930000,150580000,187970000,150660000,214110000,218420000,177630000,170740000,213330000,212270000,215520000,231770000,Nucleosome assembly protein 1-like 4,Nap1l4
Q9DB05;P28663,801350000,908180000,957990000,827870000,748190000,660780000,667200000,1.02E+09,768570000,609470000,1.07E+09,929650000,962740000,891550000,Alpha-soluble NSF attachment protein,Napa
Q9CWZ7,8484606.315,9065365.969,12102957.26,8873237.43,17253702.69,15585154.04,11064006.52,11599336.84,21446678.07,2697757.327,26924616.41,26626335.59,23657496.55,21199701.07,Gamma-soluble NSF attachment protein,Napg
Q8CC86,750747.8338,1,26063120.68,13181920.07,95849.73718,135269.5095,21023929.99,13704270.1,17478095.8,8114738.871,585015.157,1711158.145,5561038.221,1519545.128,Nicotinate phosphoribosyltransferase,Naprt1
O09043,1,1,1,1,1,1,1,1,1,1,66828463.42,1985618.367,1,1,Napsin-A,Napsa
Q8BP47,165780000,355410000,184300000,178990000,377600000,366610000,240210000,253360000,236600000,173600000,421300000,439030000,343280000,351220000,"Asparagine--tRNA ligase, cytoplasmic",Nars
Q99MD9,172990000,141450000,88236000,83257000,266900000,270470000,157890000,142150000,137420000,124860000,95817000,108200000,117080000,113770000,Nuclear autoantigenic sperm protein,Nasp
Q8K224,24503000,56161000,22950000,28634000,99977000,82198000,44735000,43480000,39962000,36160000,27953000,30291000,38306000,31942000,N-acetyltransferase 10,Nat10
P50295;P50296;P50294,7152266.071,8810461.667,3681002.264,4389996.909,6361557.556,2474266.635,3737272.817,1,1867261.932,1,1,2684049.244,2790497.406,4775869.532,Arylamine N-acetyltransferase 2;Arylamine N-acetyltransferase 3;Arylamine N-acetyltransferase 1,Nat2;Nat3;Nat1
Q9EPN1,44311000,268980000,164490000,344720000,140230000,171320000,98184000,56986000,94101000,70489000,63777000,166200000,159340000,189280000,Neurobeachin,Nbea
Q9R207,2254573.92,1174383.451,2451053.563,1,1109396.958,1932304.011,1,3947673.071,1671166.223,1903291.332,904534.1422,1070185.201,1632270.458,991501.1447,Nibrin,Nbn
Q91X97,23046661.47,46625848.3,1,1,1,3229661.112,1,1,1,1,1,1,1,1,Neurocalcin-delta,Ncald
Q8K2Z4,483903.1518,1473355.031,4434038.766,359377.4366,32055662.1,30410182.1,10295976.74,14781277.92,4875917.561,3915127.408,1625924.561,5456756.427,12092602.22,12481163.91,Condensin complex subunit 1,Ncapd2
Q8C156,1,1,1,1,7444479.587,6608570.235,4458049.129,2475855.872,1497148.109,1,667105.5974,417795.55,2822169.807,5265854.238,Condensin complex subunit 2,Ncaph
Q3UYV9,82146000,70065000,42356000,54192000,105330000,99201000,76876000,100850000,75854000,66087000,83481000,92449000,70587000,72557000,Nuclear cap-binding protein subunit 1,Ncbp1
Q9CQ49,17281582.86,1,1,1,12526465.65,7635408.888,9423654.568,18378783.22,1,11441788.18,7132517.895,10276533.51,1,7938208.033,Nuclear cap-binding protein subunit 2,Ncbp2
Q8BLF1,1,1,14101009.74,1,1554745.737,1,9749407.349,3777146.833,3859585.361,2497484.629,1,12803484.48,4562612.933,2831929.28,Neutral cholesterol ester hydrolase 1,Nceh1
Q99M51,7576920.1,4419792.905,9090920.435,3426520.158,2923641.983,4125354.891,4722514.035,10005795.32,6800976.123,3543438.097,7420726.902,7177000.014,5390761.832,8163373.098,Cytoplasmic protein NCK1,Nck1
O55033,31752000,45787000,44718000,41383000,14570000,20859000,38579000,26030000,27182000,27636000,87888000,118640000,178360000,183840000,Cytoplasmic protein NCK2,Nck2
P28660,31673000,67782000,58665000,61455000,89268000,69107000,77651000,82949000,113260000,56104000,70133000,82063000,98503000,92585000,Nck-associated protein 1,Nckap1
P09405,2706100000,1888200000,1174800000,1141800000,2741400000,2767900000,1678400000,1573800000,1796200000,1.79E+09,1310700000,1574300000,1086400000,1.13E+09,Nucleolin,Ncl
Q8VCM8,13213000,19639000,16304000,19436000,23429000,28098000,23524000,22287000,17488000,27904000,54613000,49318000,28311000,30308000,Nicalin,Ncln
Q91W39,48338000,30404000,18886000,31013000,34352000,27840000,37050000,36461000,43279000,40426000,24957000,23264000,25345000,24780000,Nuclear receptor coactivator 5,Ncoa5
Q60974,1,1,346132.5674,1,1,1,143839.8101,1,1,97416.36044,375916.2476,334389.1952,611555.3458,644956.6127,Nuclear receptor corepressor 1,Ncor1
Q9WU42,1148778.597,3124857.276,2272539.038,4712210.801,2152494.098,1393735.726,2877246.848,4078980.145,4221173.284,2130891.316,195474.4837,1194585.869,447558.8295,885937.928,Nuclear receptor corepressor 2,Ncor2
P57716,25472000,58642000,24699000,34222000,62755000,40932000,45248000,32026000,34839000,29561000,55259000,60014000,49793000,58719000,Nicastrin,Ncstn
Q8VCB1,7271900,31368000,11688000,10684000,37843000,23023000,22667000,31982000,12403000,9727900,16025000,19376000,16964000,14600000,Nucleoporin NDC1,Ndc1
Q62433,190280000,315380000,58989000,63617000,114140000,131260000,81728000,72354000,83076000,87704000,17091000,34584000,48354000,67263000,Protein NDRG1,Ndrg1
Q9QYG0,1,1,27175697.44,55600459.96,1,1,164962238.5,225577979.4,161817102.1,185290465.7,41125460.19,16551478.92,1,1,Protein NDRG2,Ndrg2
Q9QYF9,5468244.498,885591.7106,962329.7698,1,5378385.252,4964579.23,8612491.516,589269.1233,762888.5924,1342030.917,560599.269,610921.0974,1068124.427,555893.3462,Protein NDRG3,Ndrg3
Q99LC3,87809000,121550000,136290000,129920000,170840000,147010000,167240000,218780000,167720000,135630000,161280000,145250000,122350000,124280000,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Ndufa10
Q9D8B4,11311000,17920000,19754000,22840000,34478000,23465000,32036000,35912000,22900000,20822000,32225000,24251000,24017000,23687000,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,Ndufa11
Q7TMF3,28297000,49737000,52276000,52909000,68477000,58341000,64677000,72341000,62543000,51710000,53734000,51288000,49661000,53494000,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,Ndufa12
Q9ERS2,37018000,51418000,46955000,53709000,70139000,74689000,83018000,91654000,88935000,48228000,62420000,68191000,53388000,55294000,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,Ndufa13
Q9CQ75,39528000,26583000,35567000,32907000,22260000,24946000,31460000,31492000,50077000,39514000,34238000,23389000,24459000,20618000,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,Ndufa2
Q9CQ91,120922823.9,170349020.2,170980884.7,159853148.3,208529428.2,162938506.6,262192362.1,171054458.4,109912318,106716555.7,184060752,183900329.4,131207141.7,196750509.9,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,Ndufa3
Q62425,905080000,406540000,529020000,298780000,315130000,280190000,225110000,253780000,243610000,322870000,382290000,342450000,297810000,310130000,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4,Ndufa4
Q9CPP6,66188000,44262000,60876000,45430000,41880000,49953000,39488000,42600000,69938000,67236000,62324000,23088000,48749000,40848000,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,Ndufa5
Q9CQZ5,29509000,37398000,27703000,42071000,44318000,44493000,47917000,44740000,76470000,50398000,59726000,41634000,31802000,33091000,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,Ndufa6
Q9Z1P6,23852000,10521000,13963000,10625000,7955800,10788000,10202000,11964000,10944000,14378000,10613000,9739000,8065200,10302000,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,Ndufa7
Q9DCJ5,49608000,105220000,132530000,117430000,129990000,125550000,137600000,143710000,145510000,151790000,148280000,132960000,111710000,119220000,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,Ndufa8
Q9DC69,46022000,100070000,105150000,95844000,165370000,127140000,111500000,156850000,83014000,109240000,153080000,148620000,131690000,102670000,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",Ndufa9
Q9CR21,32658000,49572000,37594000,29391000,72385000,57431000,57492000,45723000,58933000,36169000,52429000,62288000,53598000,78734000,"Acyl carrier protein, mitochondrial",Ndufab1
Q59J78,12840841.04,1,8141244.997,8874576.437,7643229.042,14009358.37,30526769.52,24742665.37,20150741.21,17249951.22,9773396.674,2022908.615,10566568.34,10351667.58,"Mimitin, mitochondrial",Ndufaf2
Q9CWG8,1,1,1,1,1159796.82,1788096.079,1303848.039,910641.9,1,1219472.18,222887.0903,1398808.635,1690998.437,1779396.552,"NADH dehydrogenase [ubiquinone] complex I, assembly factor 7",Ndufaf7
Q9DCS9,66826000,91296000,92383000,93829000,95352000,90936000,88358000,119500000,99722000,111850000,87227000,89219000,76131000,80561000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,Ndufb10
O09111,27475000,21929000,19869000,20793000,25669000,24644000,27824000,32056000,19670000,23339000,22452000,17920000,15707000,22707000,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",Ndufb11
Q9CPU2,36411022.77,18058329.86,4129745.199,22957892,10383721.53,23933168.18,17138716.48,13319090.22,20174523.98,30351760.56,17477583.68,8149941.033,11994804.99,15308489.61,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",Ndufb2
Q9CQZ6,48580000,27253000,29458000,19949000,18911000,19495000,25696000,28665000,29633000,26524000,30312000,20048000,19991000,22678000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,Ndufb3
Q9CQC7,34254000,73900000,74174000,88448000,55361000,75329000,81142000,77412000,77426000,110620000,104920000,58025000,72098000,75008000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,Ndufb4
Q9CQH3,42780000,12128000,30682000,47288000,46110000,51830000,47144000,59044000,73612000,38140000,45119000,41598000,35418000,45881000,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",Ndufb5
Q3UIU2,23675000,24161000,26792000,21123000,31918000,28337000,35028000,41348000,28953000,20890000,36836000,30523000,22847000,27637000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,Ndufb6
Q9CR61,42768000,36472000,29367000,32287000,31992000,39854000,47806000,41461000,29190000,44578000,36970000,42863000,29331000,32641000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,Ndufb7
Q9D6J5,52154000,53735000,56871000,55430000,47972000,50893000,53911000,54328000,44854000,52961000,54034000,47753000,40127000,48008000,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",Ndufb8
Q9CQJ8,41999000,47384000,42067000,45118000,77475000,64869000,67384000,71354000,64098000,59743000,69632000,68258000,51273000,55974000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,Ndufb9
Q9CQ54,35137531.48,61721408.99,50718869.96,79450617.85,91417249.33,97025606.89,106455493.9,178585099.1,94628519.71,72987422.87,77914684.87,67397007.16,52562285.91,88466168.88,NADH dehydrogenase [ubiquinone] 1 subunit C2,Ndufc2
Q91VD9,138730000,231870000,233300000,255470000,331990000,291860000,318610000,316810000,272540000,235830000,353640000,354270000,273890000,265350000,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",Ndufs1
Q91WD5,62161000,54479000,59633000,73785000,74523000,76815000,82235000,81786000,87767000,104750000,92243000,79848000,69517000,49588000,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",Ndufs2
Q9DCT2,79456000,165530000,160280000,158710000,252290000,200060000,232580000,251190000,206490000,154590000,186510000,200790000,164230000,192490000,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",Ndufs3
Q9CXZ1,70098516.11,128142148.2,111694409.3,155324868.4,132014638,148641143.8,130243172.3,124987131.7,291787722.6,144547966.5,149390518.5,155186338.9,131197213.1,94915735.01,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",Ndufs4
Q99LY9,47044000,64286000,79024000,61219000,46379000,56392000,63661000,58340000,61730000,67740000,68822000,68568000,64444000,53555000,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5;NADH dehydrogenase [ubiquinone] iron-sulfur protein 5, N-terminally processed",Ndufs5
P52503,96985000,54370000,76380000,50449000,44529000,46484000,51248000,43464000,44460000,66799000,55832000,38051000,42123000,38691000,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",Ndufs6
Q9DC70,22819000,46933000,48921000,32783000,71958000,54043000,65368000,68108000,50005000,39466000,41859000,53476000,46320000,48669000,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",Ndufs7
